SampleID	BarcodeID_F	BarcodeID_R	SampleName	copies_ul	Cq
AR-359-140	AF077	N703	359	24700	29.54
AR-246-84	AF083	N703	246	1468	31
H20	AF037	N704	H20	#N/A	#N/A
AR-265-112	AF048	N704	265	37	36.8
AR-007-3	AF051	N704	7	1260	29.3
AR-028-84	AF064	N704	28	0.02	38.75
AR-096-84	AF067	N704	96	8.34E-223	36.65
AR-140-70	AF068	N704	140	1.62	38.14
AR-359-42	AF077	N704	359	8710	31.17
AR-246-112	AF083	N704	246	164	37.85
AR-176-28	AF037	N705	176	310	33.2
AR-249-42	AF048	N705	249	22	36
AR-007-28	AF051	N705	7	17	35.2
AR-028-112	AF064	N705	28	3.81	36.79
AR-096-140	AF067	N705	96	0.13	32.93
AR-140-84	AF068	N705	140	2.58	37.78
AR-359-56	AF077	N705	359	1260	34.17
AR-246-70	AF083	N705	246	150	36.64
AR-176-33	AF037	N706	176	3578	29.6
AR-306-85	AF048	N706	306	5448	29
AR-008-3	AF051	N706	8	2	38
AR-056-42	AF064	N706	56	2.58	36.96
AR-122-70	AF067	N706	122	3.73E-139	35.77
AR-142-42	AF068	N706	142	11.7	36.55
AR-359-70	AF077	N706	359	1380	34.03
AR-250-56	AF083	N706	250	11600	30.72
AR-187-168	AF037	N707	187	6	38.5
AR-306-140	AF048	N707	306	5508	29
AR-007-42	AF051	N707	7	0	40
AR-101-42	AF064	N707	101	2.02	37.07
AR-126-84	AF067	N707	126	0	36.26
AR-173-28	AF068	N707	173	291	36.03
AR-359-112	AF077	N707	359	466	35.53
AR-252-42	AF083	N707	252	0.81	40
AR-192-70	AF037	N708	192	134	34.2
AR-302-70	AF048	N708	302	1368	31.1
AR-007-84	AF051	N708	7	7430	26.6
AR-110-84	AF064	N708	110	1810	34.09
AR-366-56	AF067	N708	366	0.6	38.86
AR-180-84	AF068	N708	180	199	36.39
AR-325-140	AF077	N708	325	4040	32.36
AR-255-70	AF083	N708	255	161	37.87
AR-195-70	AF037	N709	195	20	36.1
AR-341-84	AF048	N709	341	82	34.1
AR-008-2	AF051	N709	8	15	35.3
AR-109-84	AF064	N709	109	0.01	39.23
AR-366-70	AF067	N709	366	11.4	36.57
AR-180-140	AF068	N709	180	25.2	38
AR-328-70	AF077	N709	328	111	38.45
AR-258-140	AF083	N709	258	67000	28.44
AR-209-42	AF037	N710	209	7	36.9
AR-343-112	AF048	N710	343	1040	30.6
AR-015-84	AF051	N710	15	3560	30.46
AR-081-84	AF064	N710	81	0.94	37.39
AR-367-140	AF067	N710	367	10.6	36.63
AR-150-84	AF068	N710	150	117	38.37
AR-328-84	AF077	N710	328	120000	27.09
AR-264-56	AF083	N710	264	1900	34.02
AR-214-28	AF037	N711	214	11	38
AR-366-168	AF048	N711	366	2960	29.2
AR-041-56	AF051	N711	41	483	33.66
AR-081-140	AF064	N711	81	5590	32.33
AR-374-112	AF067	N711	374	0.11	40
AR-150-140	AF068	N711	150	0.22	39.56
AR-328-112	AF077	N711	328	17500	30.08
AR-270-84	AF083	N711	270	146	38.03
AR-214-64	AF037	N712	214	2408	30.2
AR-145-0	AF048	N712	145	202	32.8
AR-024-56	AF051	N712	24	441	33.76
AR-093-2	AF064	N712	93	0	37.26
AR-129-42	AF067	N712	129	8720	28.47
Blank	AF068	N712	Blank	#N/A	#N/A
AR-328-140	AF077	N712	328	619	35.19
AR-270-56	AF083	N712	270	3.3	40
AR-270-140	AF037	AR003	270	735	35.5
AR-187-42	AF048	AR003	187	18.7	35.46
AR-013-140	AF051	AR003	13	32.9	35.69
AR-248-84	AF064	AR003	248	76800	28.23
AR-292-112	AF037	AR021	292	1.35	39.36
AR-187-56	AF048	AR021	187	24	35.09
AR-100-112	AF051	AR021	100	2.36	37
AR-288-56	AF064	AR021	288	3.76	37.84
AR-292-140	AF037	AR027	292	11	36.25
AR-187-70	AF048	AR027	187	0.877	40
